seconds,607073.09.02.01,607073.11.02.01,607073.09.01.01,610299.11.03.01,610299.11.04.01,610299.10.03.01,611537.12.03.01,611537.12.04.01,611537.11.03.01,612219.12.03.01,615619.05.01.01,615619.05.02.01,615619.03.02.01,615617.05.04.01,615617.06.04.01,615617.05.03.01,C57BL6J-620909.01.04.01,C57BL6J-620223.02.03.01,C57BL6J-620225.03.03.01,C57BL6J-620225.03.04.01,C57BL6J-620225.02.03.01,C57BL6J-620223.04.03.01,C57BL6J-620909.01.03.01,C57BL6J-620909.02.03.01
300,-69.230103,-76.000175,-70.613625,-61.569614,-67.710434,-74.520546,-78.584259,-70.328156,-64.490082,-67.922729,-77.767609,-73.57235,-77.332626,-81.231979,-80.038979,-68.942307,-61.808704,-64.686409,-77.37191,-66.34462,-68.095734,-82.108551,-72.295364,-74.431999
315,-68.725136,-76.309921,-70.569397,-61.037411,-67.482101,-74.486412,-78.845818,-69.887093,-64.840843,-68.268623,-77.924515,-73.02993,-77.467163,-81.003311,-79.234894,-68.77182,-60.48093,-63.43322,-76.440384,-65.794563,-68.530792,-81.933922,-72.758133,-74.14444
330,-68.301468,-74.878754,-69.815353,-61.636738,-67.572746,-74.033035,-78.388908,-70.281677,-64.654869,-68.304283,-77.396217,-73.20726,-77.455315,-80.813156,-79.124046,-68.169533,-63.703499,-64.276863,-75.93293,-66.207191,-69.0084,-81.731361,-72.759773,-74.015854
345,-68.461433,-75.495255,-70.040955,-61.556343,-66.859901,-74.075294,-79.113762,-69.110077,-65.113068,-67.979805,-77.167084,-72.952629,-77.663651,-80.670471,-79.678276,-68.289452,-62.570892,-64.653221,-75.447266,-64.936714,-69.755157,-82.143974,-70.948807,-72.783333
360,-68.41893,-75.836639,-69.973274,-60.93169,-66.876274,-74.622604,-78.891907,-67.228775,-64.511482,-67.466484,-77.196701,-72.694191,-77.512833,-81.086723,-79.20018,-69.811691,-64.805275,-65.207138,-75.174431,-67.888474,-70.516006,-82.469276,-71.206032,-73.539421
375,-68.204277,-75.9011,-70.03241,-61.384197,-66.621536,-74.890213,-78.406502,-69.339333,-65.068291,-68.45137,-76.776039,-73.034973,-77.639053,-81.103279,-79.470291,-68.70369,-65.589531,-63.832642,-75.174339,-67.136787,-69.954384,-82.291473,-67.476753,-72.173843
390,-67.609886,-77.050362,-70.055847,-61.465687,-66.665756,-74.078728,-78.698196,-70.539185,-65.118515,-68.050461,-76.883659,-73.535149,-76.992317,-79.711548,-78.861992,-66.157578,-66.456444,-65.512123,-74.878922,-65.78231,-68.432205,-83.300026,-67.497864,-71.841141
405,-66.66185,-77.487915,-70.34285,-61.523693,-66.71254,-74.745216,-78.95903,-69.203178,-64.868698,-67.332962,-76.882729,-73.458946,-76.556763,-79.999321,-79.303505,-68.167862,-65.566032,-64.974823,-74.784447,-66.193428,-67.862152,-82.599754,-67.79052,-68.649353
420,-66.609741,-77.858887,-70.002396,-61.442577,-67.023949,-74.4179,-78.684105,-69.470779,-65.13002,-67.314445,-76.931099,-72.94117,-74.021255,-80.164932,-79.265678,-68.271996,-65.463997,-64.572151,-74.982788,-64.920128,-69.732208,-82.644287,-70.395821,-67.597176
435,-66.045273,-77.186119,-70.163971,-60.969479,-66.33445,-74.344269,-79.332809,-71.39724,-65.596733,-67.615547,-76.971283,-72.686363,-74.766411,-80.685989,-79.03611,-68.591133,-63.769371,-64.551231,-74.544228,-66.360947,-69.875427,-83.028633,-71.73143,-68.672684
450,-66.675255,-76.799828,-70.922516,-60.948635,-66.442307,-74.525673,-78.606293,-70.30558,-65.222893,-68.792175,-77.18956,-72.844719,-74.78521,-78.834412,-78.847641,-67.58622,-66.012451,-65.115845,-75.213028,-67.515518,-71.546921,-81.855064,-70.508408,-69.255379
465,-66.500206,-76.115974,-70.47422,-60.931114,-66.056801,-74.633881,-79.560341,-70.605629,-64.848557,-68.613937,-77.128349,-72.982414,-75.748978,-33.484871,-66.643906,-65.510201,-66.536873,-64.671646,-75.651855,-66.937447,-71.621857,-82.604713,-70.92382,-72.429184
480,-66.508301,-76.030891,-70.396324,-60.267708,-66.417152,-74.349861,-80.086029,-70.25425,-64.963776,-67.221367,-77.036064,-73.184166,-75.979088,-34.986683,-65.480698,-66.369339,-67.835083,-66.495483,-75.39502,-67.354523,-71.089249,-82.393379,-72.661781,-70.006088
495,-66.446144,-76.071053,-70.573784,-60.262684,-66.407104,-74.694336,-78.635124,-71.883331,-64.96756,-67.735481,-76.896454,-73.28299,-74.764938,-34.809731,-65.279449,-66.137787,-68.700035,-64.963264,-75.546715,-64.616646,-69.967407,-81.629707,-70.412987,-70.692352
510,-66.200157,-75.480209,-70.628372,-60.344753,-66.507172,-74.732178,-78.714607,-70.356735,-65.087776,-67.57653,-76.853264,-72.976219,-74.638351,-32.563,-67.164268,-65.338264,-67.89624,-66.070663,-74.972771,-66.190041,-69.394272,-82.162514,-72.1828,-71.216942
525,-66.319687,-75.750839,-70.716423,-60.525768,-66.704155,-74.66156,-77.912971,-71.173019,-65.042389,-67.755936,-76.567978,-73.285614,-74.339546,-30.49247,-69.389397,-65.762558,-68.490448,-66.48526,-74.565414,-66.70237,-69.368973,-81.926712,-71.612061,-71.930702
540,-66.014458,-75.514885,-71.024025,-60.720013,-66.71312,-74.053909,-78.393394,-70.975395,-65.046806,-67.59407,-76.648956,-73.202454,-74.163078,-30.845892,-70.785942,-64.578445,-68.134422,-64.975845,-75.596962,-65.901505,-69.558258,-81.705399,-72.223778,-71.397842
555,-65.430161,-75.453659,-71.084183,-61.130836,-66.256248,-73.751381,-77.640228,-69.268875,-65.665489,-68.39669,-76.411858,-72.78627,-74.445114,-33.15041,-74.336494,-63.958828,-68.093887,-64.786377,-74.542999,-64.725471,-70.376839,-81.991928,-74.128616,-72.234421
570,-65.730629,-75.323441,-71.65313,-61.035229,-66.377754,-74.294685,-77.87281,-69.413811,-65.558167,-67.904228,-76.54438,-72.492172,-74.149284,-35.512928,-75.313255,-63.249744,-67.012062,-64.830482,-74.891815,-66.061722,-71.95871,-82.247772,-73.84536,-67.182266
585,-65.100487,-74.499573,-71.441605,-60.763397,-66.364853,-74.402977,-77.580574,-69.575485,-65.885391,-68.168556,-76.557121,-73.377808,-74.52948,-35.66975,-74.699577,-65.448685,-68.246925,-65.230461,-74.974411,-65.417,-73.811089,-82.471344,-72.92289,-68.772514
