seconds,603452.05.02.01,603452.06.01.01,603452.06.02.01,603452.05.01.01,604427.03.02.01,604427.04.02.01,604427.05.02.01,604427.02.01.01,604949.03.01.01,604949.06.01.01,605489.04.02.01,605489.03.01.01,605489.05.01.01,605489.02.02.01,606634.06.02.01,606634.05.01.01,607073.09.02.01,607073.11.02.01,607073.09.01.01,611951.02.01.01,611951.06.02.01,614426.20.04.01
330,-73.72522,-80.657043,-79.795334,-85.501534,-74.008865,-85.954735,-61.782135,-75.886116,-79.518105,-77.826767,-66.672737,-78.296745,-80.201172,-78.104317,-84.551956,-75.232132,-68.301468,-74.878754,-69.815353,-72.50412,-69.480293,-85.690987
345,-73.291161,-76.958359,-78.957924,-85.056763,-74.96698,-85.944725,-62.71957,-75.748299,-79.527687,-77.639542,-64.152687,-78.853584,-79.861855,-78.848175,-82.720535,-75.622215,-68.461433,-75.495255,-70.040955,-78.59745,-69.505875,-86.081429
360,-74.442307,-81.394119,-78.821281,-85.011421,-72.869171,-85.846451,-62.301266,-75.338829,-79.85199,-77.739502,-65.035683,-79.501717,-79.303413,-79.643082,-82.986183,-74.989822,-68.41893,-75.836639,-69.973274,-78.718414,-69.660995,-85.924622
375,-73.318558,-81.343643,-78.775093,-85.043533,-73.409782,-85.554642,-62.155987,-75.289856,-80.514091,-77.326279,-66.207939,-78.832596,-79.468918,-79.582939,-82.640579,-74.433304,-68.204277,-75.9011,-70.03241,-78.74292,-70.008842,-85.536781
390,-74.353165,-80.244881,-78.741417,-84.97554,-74.035561,-85.809822,-61.822845,-75.275887,-79.645744,-78.175728,-65.98912,-79.106644,-79.441849,-79.109329,-82.629547,-74.989609,-67.609886,-77.050362,-70.055847,-78.865219,-70.20723,-86.284683
405,-74.494667,-79.958839,-78.769691,-85.071609,-74.484558,-85.902588,-61.720718,-75.302299,-79.663719,-78.294701,-68.544197,-78.975571,-75.444054,-79.097298,-82.752098,-75.334343,-66.66185,-77.487915,-70.34285,-78.035881,-71.024986,-86.686768
420,-74.523384,-80.153473,-78.513481,-84.905602,-74.953644,-86.307709,-61.426201,-75.686852,-78.998482,-78.21566,-68.855568,-79.190987,-69.141182,-78.826859,-82.245834,-74.686539,-66.609741,-77.858887,-70.002396,-77.953545,-70.533012,-86.127937
435,-74.102058,-79.455719,-78.81916,-84.629364,-74.894714,-86.732719,-61.199619,-75.23661,-79.223,-78.258034,-75.271973,-78.912025,-72.456825,-79.377892,-82.280899,-74.706306,-66.045273,-77.186119,-70.163971,-77.772179,-69.50843,-86.41301
450,-74.298325,-80.170815,-79.4972,-84.723389,-74.909851,-86.461861,-61.845303,-75.844772,-79.009323,-78.288086,-74.064583,-78.46479,-74.219963,-79.495209,-81.2435,-74.998192,-66.675255,-76.799828,-70.922516,-77.694778,-70.787781,-85.429619
465,-74.940521,-80.345917,-79.058319,-84.685448,-74.338242,-85.883995,-60.064442,-75.236259,-79.246002,-78.11776,-72.570633,-77.832336,-71.466492,-79.114197,-81.712273,-75.608009,-66.500206,-76.115974,-70.47422,-77.663498,-71.434479,-86.542801
480,-75.813591,-79.322075,-78.853928,-84.587929,-75.337669,-85.922722,-60.953663,-74.670998,-80.138908,-78.49736,-72.558807,-78.284653,-70.36187,-79.218132,-81.808548,-74.714821,-66.508301,-76.030891,-70.396324,-78.162346,-70.804794,-86.867935
495,-76.282623,-78.978195,-79.293167,-83.58136,-75.328926,-85.790199,-59.804592,-74.813492,-79.309677,-77.971603,-74.518845,-78.798439,-70.809479,-79.47673,-82.758781,-76.072372,-66.446144,-76.071053,-70.573784,-78.521072,-71.165298,-87.306602
510,-76.024376,-79.864731,-79.847252,-84.325348,-75.371368,-85.395706,-60.720974,-74.749794,-80.694824,-78.202225,-75.735939,-79.591957,-70.210205,-79.630516,-82.319466,-76.233238,-66.200157,-75.480209,-70.628372,-78.76593,-70.742126,-87.892288
525,-76.894547,-79.474541,-78.996635,-84.338562,-75.39756,-85.108925,-60.361137,-75.053909,-80.003792,-77.829544,-76.219215,-79.718361,-70.465919,-80.126823,-82.498528,-75.904137,-66.319687,-75.750839,-70.716423,-78.66787,-71.116943,-87.552116
540,-77.534042,-79.197578,-79.852394,-84.337791,-75.303635,-86.081337,-60.784264,-75.113129,-79.592293,-77.876541,-76.670723,-79.428253,-70.580849,-79.652962,-82.734245,-76.491005,-66.014458,-75.514885,-71.024025,-78.363853,-72.076889,-88.15374
555,-77.488144,-80.515007,-78.889519,-84.323997,-74.681816,-86.30986,-60.772476,-75.296227,-80.0149,-77.756699,-78.066826,-78.816696,-71.71064,-80.053825,-82.416451,-75.811348,-65.430161,-75.453659,-71.084183,-78.509232,-71.866814,-88.326775
570,-76.619179,-80.208405,-78.120171,-84.054672,-74.894836,-86.040337,-62.792305,-74.904221,-80.746605,-77.510857,-79.773033,-78.31176,-72.524002,-79.868935,-82.726257,-76.655655,-65.730629,-75.323441,-71.65313,-77.990211,-71.962204,-88.477409
585,-77.269394,-79.635559,-77.268593,-84.258553,-74.121742,-85.766045,-60.988579,-74.694305,-79.403519,-77.854691,-79.538368,-78.535263,-73.353615,-79.298607,-83.705139,-76.747787,-65.100487,-74.499573,-71.441605,-77.483147,-70.992683,-88.267105
