name,species,experiment_type,treatment,after_treatment,common_potential,cell_type,notes,AP_peak,AP_amp,max_dvdt,min_dvdt,halfwidth,resonance_freq,cutoff,input_R,sag,RMP,EPSC_5sec,EPSC_Hz,EPSC_amp,puff_change,puff_outcome,FI_50,FI_100,FI_150,FI_200,FI_250,FI_300,FI_350,FI_400,FI_450,FI_500,FI_550,FI_600,FI_650,FI_700,FI_750,FI_800,FI_850,FI_900,Layer,topLeaf_label
Vip-IRES-Cre;Ai14-627402.05.03.02,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,45.227051,84.057541,421.14258,-124.51172,0.64648438,1.6818181,5.8225212,72.985229,1.1717016,-69.159821,47.33333333,9.466666667,7.141544,-2,hyperpolarized,0,0,0,7,12,18,22,26,30,33,,,,,,,,,,
Vip-IRES-Cre;Ai14-627402.05.03.02,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,43.426514,80.722275,359.19189,-117.1875,0.70812988,2.090909,5.4846087,85.679237,1.1370327,-68.877151,30.44444444,6.088888889,6.094604,-2,hyperpolarized,0,0,0,6,12,17,21,25,29,32,34,,,,,,,,,
Chat-IRES-Cre-neo;Ai14-628761.05.03.02,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,37.750244,75.632469,289.00146,-89.111328,0.84936523,1.3636364,4.2881103,164.78523,1.1833824,-60.119354,21.91666667,4.383333333,8.308208,40,depolarized,7,19,26,30,32,33,35,36,35,35,,,,,,,,,,
Chat-IRES-Cre-neo;Ai14-628761.05.03.02,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,38.94043,78.604668,312.80518,-100.70801,0.7611084,1.7272727,4.8466072,165.46306,1.1343806,-56.218063,23.72727273,4.745454545,8.254945,40,depolarized,12,23,29,32,34,36,36,32,26,7,,,,,,,,,,
Vip-IRES-Cre;Ai14-627403.04.03.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,43.85376,83.50663,353.39355,-114.44092,0.72033691,2,4.7359805,126.66866,1.2536331,-66.107811,11.71428571,2.342857143,6.713868,0,no change,0,11,24,32,39,44,46,48,50,52,,,,,,,,,,
Vip-IRES-Cre;Ai14-627403.04.03.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,22.399902,61.857552,210.87646,-89.111328,0.8067627,1.3181819,4.3287196,145.09302,1.1754928,-66.602318,14.42857143,2.885714286,6.750125,0,no change,0,15,28,38,44,49,52,55,58,,,,,,,,,,,
Vip-IRES-Cre;Ai14-627403.04.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,16.296387,63.753502,202.33154,-51.269531,1.0855713,0.5,2.0756578,208.06122,0.96143967,-85.380035,32.27272727,6.454545455,7.410183,0,no change,1,2,6,10,11,12,13,15,16,17,,,,,,,,,,
Vip-IRES-Cre;Ai14-627403.04.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,33.813477,57.896286,161.74316,-45.776367,1.145752,0.63636363,2.3035111,179.09889,1.0602688,-90,33.63636364,6.727272727,7.134555,0,no change,0,1,1,4,4,5,7,7,8,9,,,,,,,,,,
C57BL6J-629714.04.03.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,59.356689,89.027657,377.50244,-97.045898,0.84509277,0.95454544,3.5622635,116.62092,1.0113668,-51.041752,31.5,6.3,7.006928,-2,hyperpolarized,1,12,18,24,27,30,31,34,35,35,,,,,,,,,,
C57BL6J-629714.04.03.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,59.234619,86.95446,354.61426,-95.52002,0.86254883,1.6818181,3.8858106,115.78948,1.0345852,-49.060795,18.4,3.68,6.82333,-2,hyperpolarized,1,12,19,24,28,31,33,34,35,37,,,,,,,,,,
